"","unitid","year","fips","student_faculty_ratio"
"844",144218,2018,17,31
"845",144281,2018,17,13
"846",144351,2018,17,10
"847",144485,2018,17,17
"848",144564,2018,17,16
"849",144573,2018,17,8
"850",144740,2018,17,15
"851",144795,2018,17,18
"852",144865,2018,17,21
"853",144883,2018,17,16
"854",144892,2018,17,13
"855",144944,2018,17,20
"856",144962,2018,17,13
"857",144971,2018,17,13
"858",145099,2018,17,25
"859",145239,2018,17,11
"860",145309,2018,17,6
"861",145336,2018,17,10
"862",145354,2018,17,2
"863",145372,2018,17,11
"864",145406,2018,17,13
"865",145424,2018,17,9
"866",145433,2018,17,18
"867",145497,2018,17,5
"868",145521,2018,17,14
"869",145600,2018,17,18
"870",145619,2018,17,15
"871",145637,2018,17,20
"872",145646,2018,17,11
"873",145682,2018,17,17
"874",145691,2018,17,13
"875",145707,2018,17,13
"876",145725,2018,17,12
"877",145813,2018,17,20
"878",145831,2018,17,14
"879",146205,2018,17,22
"880",146278,2018,17,13
"881",146296,2018,17,22
"882",146339,2018,17,8
"883",146348,2018,17,13
"884",146366,2018,17,18
"885",146418,2018,17,18
"886",146427,2018,17,11
"887",146454,2018,17,15
"888",146472,2018,17,17
"889",146481,2018,17,12
"890",146506,2018,17,19
"891",146533,2018,17,8
"892",146603,2018,17,19
"893",146612,2018,17,13
"894",146667,2018,17,13
"895",146676,2018,17,14
"896",146685,2018,17,19
"897",146700,2018,17,26
"898",146719,2018,17,14
"899",146755,2018,17,8
"900",146807,2018,17,7
"901",146816,2018,17,13
"902",146825,2018,17,13
"903",147004,2018,17,20
"904",147013,2018,17,14
"905",147129,2018,17,9
"906",147165,2018,17,5
"907",147244,2018,17,10
"908",147341,2018,17,10
"909",147369,2018,17,20
"910",147378,2018,17,21
"911",147396,2018,17,9
"912",147411,2018,17,18
"913",147439,2018,17,10
"914",147536,2018,17,15
"915",147590,2018,17,8
"916",147642,2018,17,8
"917",147660,2018,17,14
"918",147679,2018,17,10
"919",147703,2018,17,13
"920",147767,2018,17,6
"921",147776,2018,17,14
"922",147800,2018,17,16
"923",147819,2018,17,16
"924",147828,2018,17,16
"925",147916,2018,17,17
"926",148007,2018,17,13
"927",148016,2018,17,6
"928",148098,2018,17,6
"929",148131,2018,17,14
"930",148256,2018,17,19
"931",148292,2018,17,15
"932",148335,2018,17,20
"933",148380,2018,17,17
"934",148399,2018,17,24
"935",148405,2018,17,10
"936",148487,2018,17,10
"937",148496,2018,17,10
"938",148511,2018,17,5
